0,1,2,3,4,5,falcon-7b-lang-45_correct,falcon-7b-lang-45_choiceA_probs,falcon-7b-lang-45_choiceB_probs,falcon-7b-lang-45_choiceC_probs,falcon-7b-lang-45_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,False,0.397,0.3315,0.2262,0.04523
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.4194,0.4243,0.1263,0.03001
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,False,0.4744,0.3457,0.1678,0.01211
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.474,0.2932,0.1464,0.08636
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.554,0.3335,0.1041,0.008064
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,True,0.3833,0.206,0.3533,0.05743
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.3916,0.2072,0.3389,0.06244
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,False,0.4011,0.3198,0.2349,0.04446
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,False,0.4458,0.2913,0.2081,0.05472
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.4612,0.3296,0.1737,0.03543
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.539,0.306,0.1348,0.02003
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,False,0.4434,0.2627,0.2576,0.03638
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,False,0.4155,0.2673,0.2844,0.0328
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,False,0.2094,0.3618,0.2678,0.1611
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,False,0.4873,0.3003,0.1962,0.01636
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.4631,0.2886,0.2196,0.02858
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,True,0.386,0.3726,0.2164,0.02505
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,False,0.4316,0.3428,0.2079,0.0178
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.444,0.3904,0.1414,0.024
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.4497,0.353,0.1831,0.014175
