0,1,2,3,4,5,falcon-7b-lang-5_correct,falcon-7b-lang-5_choiceA_probs,falcon-7b-lang-5_choiceB_probs,falcon-7b-lang-5_choiceC_probs,falcon-7b-lang-5_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.5425,0.15,0.2235,0.08417
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.4702,0.1664,0.244,0.1194
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.4812,0.1777,0.2152,0.126
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.296,0.1768,0.33,0.1971
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.595,0.1376,0.1925,0.0745
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.4272,0.159,0.2727,0.1409
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.616,0.1277,0.1602,0.09564
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.478,0.1849,0.2384,0.09863
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.4104,0.2189,0.268,0.1026
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.4392,0.1987,0.2483,0.1137
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.499,0.1766,0.267,0.0571
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.523,0.1594,0.2249,0.093
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.4282,0.1683,0.282,0.1213
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.4446,0.17,0.2334,0.1519
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.5605,0.1222,0.1968,0.1203
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.4094,0.2124,0.2445,0.1334
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.4026,0.1704,0.322,0.105
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.5483,0.1425,0.2181,0.09094
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.4463,0.1714,0.2654,0.1169
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,True,0.4521,0.1575,0.2808,0.1095
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.4968,0.1644,0.2329,0.1058
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.413,0.1497,0.2988,0.1384
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.472,0.165,0.2094,0.1538
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.3901,0.1606,0.3376,0.11176
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.4583,0.1903,0.259,0.09235
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.497,0.1718,0.2357,0.0956
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.5083,0.187,0.2283,0.0764
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.4746,0.188,0.2216,0.11584
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.527,0.1757,0.2239,0.0738
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.6196,0.1494,0.1635,0.0676
