Input,Pred,Gold
"Determine whether the sentence The hair has to be cleaned. contains is an entailment of the following sentence: The drain is clogged with hair. It has to be cleaned.
[LABELS_CHOICE]",1,0
"Determine whether the sentence Susan did not answer. contains is an entailment of the following sentence: Jane knocked on Susan's door but she did not answer.
[LABELS_CHOICE]",1,1
"Determine whether the sentence Sally stopped and counted to ten. contains is an entailment of the following sentence: Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.
[LABELS_CHOICE]",1,0
"Determine whether the sentence That's exactly how Facebook makes us feel. contains is an entailment of the following sentence: No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.
[LABELS_CHOICE]",1,1
"Determine whether the sentence The son was so heavy. contains is an entailment of the following sentence: The man couldn't lift his son because he was so heavy.
[LABELS_CHOICE]",1,1
"Determine whether the sentence Ann told her about it. contains is an entailment of the following sentence: Susan knew that Ann's son had been in a car accident, so she told her about it.
[LABELS_CHOICE]",1,0
"Determine whether the sentence Father gave Timmy a stern look. contains is an entailment of the following sentence: When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.
[LABELS_CHOICE]",1,1
"Determine whether the sentence I can't see around the pillar. contains is an entailment of the following sentence: There is a pillar between me and the stage, and I can't see around it.
[LABELS_CHOICE]",1,1
"Determine whether the sentence The duck had better get away to safety fast! contains is an entailment of the following sentence: Look! There is a minnow swimming right below that duck! It had better get away to safety fast!
[LABELS_CHOICE]",1,0
"Determine whether the sentence Anyone who knew that he was 19 years old could take his claim away from anyone. contains is an entailment of the following sentence: Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.
[LABELS_CHOICE]",1,0
"Determine whether the sentence The sponsors were very much in the majority. contains is an entailment of the following sentence: When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.
[LABELS_CHOICE]",1,0
"Determine whether the sentence The tree is too thick. contains is an entailment of the following sentence: I can't cut that tree down with that axe; it is too thick.
[LABELS_CHOICE]",1,1
"Determine whether the sentence The large ball was made of styrofoam. contains is an entailment of the following sentence: The large ball crashed right through the table because it was made of styrofoam.
[LABELS_CHOICE]",1,0
"Determine whether the sentence The lemon trees came out looking more like light bulbs. contains is an entailment of the following sentence: I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.
[LABELS_CHOICE]",1,0
"Determine whether the sentence Madonna slept with her boyfriend. contains is an entailment of the following sentence: Madonna fired her trainer because she slept with her boyfriend.
[LABELS_CHOICE]",1,0
"Determine whether the sentence Sam would have gotten a lot of money. contains is an entailment of the following sentence: If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.
[LABELS_CHOICE]",1,0
"Determine whether the sentence The lawyer was reluctant to repeat it. contains is an entailment of the following sentence: The lawyer asked the witness a question, but he was reluctant to repeat it.
[LABELS_CHOICE]",1,1
"Determine whether the sentence We should make fewer of the oatmeal cookies. contains is an entailment of the following sentence: Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.
[LABELS_CHOICE]",1,0
"Determine whether the sentence Carl was very ill. contains is an entailment of the following sentence: Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.
[LABELS_CHOICE]",1,0
