Input,Pred,Gold
"Given the following sentence: As of that day, the new constitution heralding the Second Republic came into force.. Has the question: What came into force after the new constitution was herald? been answered?
[LABELS_CHOICE]",0,0
"Given the following sentence: The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.. Has the question: What is the first major city in the stream of the Rhine? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.. Has the question: What is the minimum required if you want to teach in Canada? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]. Has the question: How was Temüjin kept imprisoned by the Tayichi'ud? been answered?
[LABELS_CHOICE]",0,0
"Given the following sentence: He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.. Has the question: What did Herr Gott, dich loben wir become known as ? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die."". Has the question: What year did the the case go before the supreme court? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.. Has the question: What does UMC stand for? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: Southern California is also important to the world of yachting.. Has the question: What is the name of the professional skateboarder that lives in southern California? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: Temüjin's reputation also became widespread after his escape from the Tayichi'ud.. Has the question: Where did Temüjin hide during his escape from the Tayichi'ud? been answered?
[LABELS_CHOICE]",0,1
"Given the following sentence: These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.. Has the question: What are the most active parts of ctenophora? been answered?
[LABELS_CHOICE]",0,0
