Input,Pred,Gold
Pria itu memangku tasnya saat menaiki angkutan umum because [LABELS_CHOICE],1,0
Kulitnya bentol-bentol because [LABELS_CHOICE],0,0
Bapak saya masuk angin because [LABELS_CHOICE],0,1
Jari bocah itu sakit because [LABELS_CHOICE],1,1
Dia sedih because [LABELS_CHOICE],0,0
Ibu itu begitu bahagia because [LABELS_CHOICE],0,0
Orang itu makan nasi porsi kuli because [LABELS_CHOICE],0,1
Ia merasa geli because [LABELS_CHOICE],1,0
Ia tidak naik kelas because [LABELS_CHOICE],0,0
Pria itu baru saja selesai solat berjamaah. Ia terkejut because [LABELS_CHOICE],1,1
Gadis itu ikut latihan saman because [LABELS_CHOICE],1,1
Pemuda itu makan di warteg because [LABELS_CHOICE],1,1
KPR bapak macet because [LABELS_CHOICE],0,0
Kakak menjuarai lomba gurindam because [LABELS_CHOICE],1,1
Bapak itu memesan ojek because [LABELS_CHOICE],0,1
Ibu kos datang because [LABELS_CHOICE],0,1
Mahasiswa itu terlihat gugup because [LABELS_CHOICE],0,1
Ia berlatih gerakan kuda-kuda because [LABELS_CHOICE],1,0
Kakinya kapalan because [LABELS_CHOICE],1,1
Pengusaha kelas kakap itu akhirnya jatuh juga because [LABELS_CHOICE],1,0
Wanita itu sangat ingin menjadi artis therefore [LABELS_CHOICE],0,1
Mahasiswa itu ketahuan titip absen therefore [LABELS_CHOICE],0,1
Siswa SMA itu rambutnya gondrong therefore [LABELS_CHOICE],0,0
Pak ogah membantu mobilnya putar balik therefore [LABELS_CHOICE],0,0
Pengunjung itu memberikan tip 5% ke pelayan therefore [LABELS_CHOICE],0,1
Banyak sekali pungli sepanjang perjalanan therefore [LABELS_CHOICE],1,0
Ia ingin memberbaharui SIM-C miliknya therefore [LABELS_CHOICE],1,0
Sopir truk jarak jauh itu bosan therefore [LABELS_CHOICE],1,0
Pemuda tersebut berlatih angklung setiap hari therefore [LABELS_CHOICE],0,0
Segerombolan pemuda sedang menjelajah Kalimantan therefore [LABELS_CHOICE],0,0
Saya minum air kobokan therefore [LABELS_CHOICE],0,1
Got di komplek perumahaan itu tersumbat therefore [LABELS_CHOICE],0,1
"Hari senin, anak SD itu bangun jam 6 pagi therefore [LABELS_CHOICE]",1,0
Ia didatangi pengamen therefore [LABELS_CHOICE],1,0
Banyak pembegalan di sekitar komplek therefore [LABELS_CHOICE],0,1
Pelajar itu ingin menembak temannya di sekolah therefore [LABELS_CHOICE],0,0
Anak itu ingin sekali makan nasi dan ayam goreng tepung therefore [LABELS_CHOICE],1,1
Ada kasus demam berdarah di komplek itu therefore [LABELS_CHOICE],1,0
Kakinya terkilir therefore [LABELS_CHOICE],0,0
Terlihat layang-layang putus therefore [LABELS_CHOICE],1,1
Alergi kacangnya kumat dan ia gatal-gatal because [LABELS_CHOICE],0,1
Orang itu menangis kepedasan because [LABELS_CHOICE],0,0
Listrik di rumahnya padam because [LABELS_CHOICE],0,0
Ia kehabisan tinta kuning because [LABELS_CHOICE],0,1
Anak kecil itu menjerit ketakutan because [LABELS_CHOICE],0,1
Bapak itu merantau ke Jakarta because [LABELS_CHOICE],0,1
Pemuda itu dilarikan ke rumah sakit because [LABELS_CHOICE],0,0
Ia masuk ke Indomaret because [LABELS_CHOICE],1,1
Ibu pergi ke Pasar Minggu because [LABELS_CHOICE],1,0
Ia merasa gelisah because [LABELS_CHOICE],0,0
Ibu beli beras ketan because [LABELS_CHOICE],0,1
Perempuan itu pergi ke Gambir because [LABELS_CHOICE],0,1
Wanita itu pergi ke Puncak because [LABELS_CHOICE],0,0
Bapak itu senang sekali because [LABELS_CHOICE],0,0
Ia rajin angkat beban because [LABELS_CHOICE],1,0
Ia pergi ke Soekarno Hatta because [LABELS_CHOICE],1,1
Anak itu ketakutan because [LABELS_CHOICE],0,1
Anak itu menjerit histeris because [LABELS_CHOICE],0,0
Ia berurusan dengan polisi because [LABELS_CHOICE],0,1
Pria itu memperbaharui KK miliknya because [LABELS_CHOICE],1,1
Dokternya menyarankannya untuk mengurangi konsumsi karbohidrat therefore [LABELS_CHOICE],0,0
Ia ingin pergi jalan-jalan ke Ancol therefore [LABELS_CHOICE],1,1
Ia ingin mencari buku bacaan baru therefore [LABELS_CHOICE],1,1
Orang itu sangat mengidolakan Gatot Kaca therefore [LABELS_CHOICE],1,1
Ia diminta membuat laporan tentang pahlawan nasional therefore [LABELS_CHOICE],1,0
Saya tidak sengaja menumpahkan kuah gulai therefore [LABELS_CHOICE],0,1
Hari ini adalah hari libur Idul Fitri therefore [LABELS_CHOICE],0,0
Diadakan acara keroncong di kampung therefore [LABELS_CHOICE],0,1
Kakakku mengidolakan Joko Anwar therefore [LABELS_CHOICE],0,1
Kakakku mengidolakan Joko Widodo therefore [LABELS_CHOICE],0,0
Siswa SMA itu ingin sekali melanjutkan pendidikan di ITB therefore [LABELS_CHOICE],0,1
Bapak terlalu banyak mengonsumsi Gudang Garam therefore [LABELS_CHOICE],1,0
Sekumpulan anak melompat-lompat di TransJakarta therefore [LABELS_CHOICE],0,0
Sekumpulan anak melompat-lompat di Trans Studio therefore [LABELS_CHOICE],0,1
Ia makan es teler setiap hari therefore [LABELS_CHOICE],0,0
Aplikasi QRIS-nya rusak therefore [LABELS_CHOICE],0,1
Ia ingin mendapatkan kursi DPR therefore [LABELS_CHOICE],0,0
Pemudi itu ingin sekali makan nasi padang therefore [LABELS_CHOICE],1,1
Anak itu berjalan kaki mengelilingi Taman Mini therefore [LABELS_CHOICE],0,1
Ia ganteng therefore [LABELS_CHOICE],1,1
Polisi mengamankan stadion because [LABELS_CHOICE],1,0
Mereka sekeluarga sehari-hari makan raskin because [LABELS_CHOICE],0,0
Rambut gadis itu seperti mak lampir because [LABELS_CHOICE],0,0
Laporan BMKG membuat warga panik because [LABELS_CHOICE],1,1
Ia senang tinggal di Kebon Jeruk because [LABELS_CHOICE],1,0
Ia tidak suka tinggal di Kelapa Gading because [LABELS_CHOICE],0,1
Mahasiswa sedang mengumpulkan dana untuk kegiatan mahasiswa because [LABELS_CHOICE],1,0
Tiba-tiba bapak didatangi rentenir because [LABELS_CHOICE],1,0
Dia dibawa ke rumah sakit because [LABELS_CHOICE],1,0
Ia dirujak teman-temannya because [LABELS_CHOICE],0,1
Anak itu diterima masuk UI therefore [LABELS_CHOICE],1,1
Ibu belanja di pasar therefore [LABELS_CHOICE],1,1
Anak itu ingin merantau therefore [LABELS_CHOICE],1,0
Kelakuannya seperti dajjal therefore [LABELS_CHOICE],1,0
Orang itu mengalami kecelakaan mobil therefore [LABELS_CHOICE],0,0
"Ibu menyampurkan gula, garam, dan jeruk di masakannya therefore [LABELS_CHOICE]",0,0
Aku sedang berhemat therefore [LABELS_CHOICE],0,0
Saya terlambat masuk kantor therefore [LABELS_CHOICE],0,1
Ia suka berjemur therefore [LABELS_CHOICE],0,0
Ada pesta makan rengginang therefore [LABELS_CHOICE],1,0
Ia dikenal sebagai kembang desa because [LABELS_CHOICE],0,0
Air seninya bening because [LABELS_CHOICE],0,0
Dirinya dijuluki bermuka badak because [LABELS_CHOICE],0,0
Rumahnya dimakan si jago merah because [LABELS_CHOICE],1,0
Jalanan macet because [LABELS_CHOICE],1,1
Ia mengadu domba tetangganya therefore [LABELS_CHOICE],1,0
Anak itu ingin sekali menuntut ilmu di negeri sakura therefore [LABELS_CHOICE],1,1
Ia selalu jadi mahasiswi kupu-kupu therefore [LABELS_CHOICE],0,1
Ia selalu jadi mahasiswa kura-kura therefore [LABELS_CHOICE],0,0
Orang itu sudah bau tanah therefore [LABELS_CHOICE],1,1
"Gadis itu berjalan melewati tukang bakso, tiba-tiba tukang baksonya senyum because [LABELS_CHOICE]",1,1
Mertua mendapatkan menantu idaman because [LABELS_CHOICE],0,1
Di malam hari jalanan sangat ramai because [LABELS_CHOICE],1,0
Anak muda itu pakai baju seragam SMA yang sudah dicoret-coret because [LABELS_CHOICE],0,0
Hari minggu pagi warga kompleks berkumpul bersama because [LABELS_CHOICE],1,1
Murid itu bisa membangun tenda because [LABELS_CHOICE],0,1
Penonton berjoget bersama di lapangan because [LABELS_CHOICE],1,0
"Malam ini orang-orang membakar jagung, sosis, dan ikan because [LABELS_CHOICE]",0,0
"Paman sedang sarungan, kokoan, dan pecian because [LABELS_CHOICE]",1,0
Malin kundang jadi batu because [LABELS_CHOICE],1,1
Bawang putih disiksa ibunya because [LABELS_CHOICE],1,0
"Saat lebaran, suasana kota Jakarta sangat sepi because [LABELS_CHOICE]",0,1
Laki-laki bugis perlu menabung uang banyak sebelum menikah because [LABELS_CHOICE],0,0
Lantai rumah jarang berdebu because [LABELS_CHOICE],1,0
Sepupuku pakai jaket di siang hari because [LABELS_CHOICE],0,1
Saya makan lalapan pakai tangan because [LABELS_CHOICE],0,0
Kakak sedang membuat sambal terasi because [LABELS_CHOICE],1,0
Pelajar jogja dilarang keluar rumah diatas jam 10 malam because [LABELS_CHOICE],0,1
Aku tidak diperbolehkan menonton pertandingan Persib melawan Persija oleh ibu because [LABELS_CHOICE],1,1
Papa mendapat gaji tambahan di hari raya because [LABELS_CHOICE],1,1
"Tahun ini, ujian sekolah pakai LJK therefore [LABELS_CHOICE]",0,0
"Tiap awal bulan, ibu pergi ke warung therefore [LABELS_CHOICE]",1,0
Orang itu suka bersantai pakai kaos dalam dan sarung therefore [LABELS_CHOICE],0,1
Punggung pakde sedang dikerok therefore [LABELS_CHOICE],1,1
Bendahara kelas hari ini ulang tahun therefore [LABELS_CHOICE],0,1
Kami menghormati pengorbanan para pahlawan therefore [LABELS_CHOICE],0,0
