Input,Pred,Gold
"Determine whether phrase is of positive or negative sentiment:
it 's a charming and often affecting journey . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
unflinchingly bleak and desperate . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . . Sentiment: [LABELS_CHOICE]",0,1
"Determine whether phrase is of positive or negative sentiment:
it 's slow -- very , very slow . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . . Sentiment: [LABELS_CHOICE]",0,1
"Determine whether phrase is of positive or negative sentiment:
a sometimes tedious film . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
or doing last year 's taxes with your ex-wife . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . . Sentiment: [LABELS_CHOICE]",0,1
"Determine whether phrase is of positive or negative sentiment:
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . . Sentiment: [LABELS_CHOICE]",0,1
"Determine whether phrase is of positive or negative sentiment:
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . . Sentiment: [LABELS_CHOICE]",0,0
"Determine whether phrase is of positive or negative sentiment:
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . . Sentiment: [LABELS_CHOICE]",1,1
"Determine whether phrase is of positive or negative sentiment:
... the movie is just a plain old monster . . Sentiment: [LABELS_CHOICE]",0,0
