Input,Pred,Gold
"Pria itu memangku tasnya saat menaiki angkutan umum. This happened because...
Help me pick the more plausible option: - choice1: Pria itu berjaga-jaga agar tasnya tidak dicuri., choice2: Tasnya empuk.

[LABELS_CHOICE]",1,0
"Kulitnya bentol-bentol. This happened because...
Help me pick the more plausible option: - choice1: Ia digigit nyamuk., choice2: Ia dipatuk ayam .

[LABELS_CHOICE]",0,0
"Bapak saya masuk angin. This happened because...
Help me pick the more plausible option: - choice1: Bapak pulang dari salon., choice2: Bapak pulang ronda.

[LABELS_CHOICE]",0,1
"Jari bocah itu sakit. This happened because...
Help me pick the more plausible option: - choice1: Ia terlalu banyak main enggrang., choice2: Ia terlalu banyak main kelereng.

[LABELS_CHOICE]",0,1
"Dia sedih. This happened because...
Help me pick the more plausible option: - choice1: Nilai rapornya banyak yang merah., choice2: Nilai rapornya banyak yang hijau.

[LABELS_CHOICE]",1,0
"Ibu itu begitu bahagia. This happened because...
Help me pick the more plausible option: - choice1: Namanya terpilih di undian arisan., choice2: Namanya tidak terpilih di undian arisan.

[LABELS_CHOICE]",1,0
"Orang itu makan nasi porsi kuli. This happened because...
Help me pick the more plausible option: - choice1: Orang itu bosan makan nasi., choice2: Orang itu belum makan dari kemarin.

[LABELS_CHOICE]",0,1
"Ia merasa geli. This happened because...
Help me pick the more plausible option: - choice1: Temannya menggosokkan kemoceng di kakinya., choice2: Temannya menggosokkan kentongan di kakinya.

[LABELS_CHOICE]",0,0
"Ia tidak naik kelas. This happened because...
Help me pick the more plausible option: - choice1: Ia jarang belajar., choice2: Ia takut ketinggian.

[LABELS_CHOICE]",1,0
"Pria itu baru saja selesai solat berjamaah. Ia terkejut. This happened because...
Help me pick the more plausible option: - choice1: Bajunya hilang dicuri., choice2: Sandalnya hilang dicuri.

[LABELS_CHOICE]",0,1
"Gadis itu ikut latihan saman. This happened because...
Help me pick the more plausible option: - choice1: Ia senang ilmu mistis., choice2: Ia senang menari.

[LABELS_CHOICE]",1,1
"Pemuda itu makan di warteg. This happened because...
Help me pick the more plausible option: - choice1: Dia sedang ingin makan makanan mewah., choice2: Dia sedang berhemat.

[LABELS_CHOICE]",1,1
"KPR bapak macet. This happened because...
Help me pick the more plausible option: - choice1: Bapak dipecat dari kantor., choice2: Bapak jarang membersihkan rumah.

[LABELS_CHOICE]",0,0
"Kakak menjuarai lomba gurindam. This happened because...
Help me pick the more plausible option: - choice1: Kakak sangat perkasa., choice2: Kakak sangat kreatif.

[LABELS_CHOICE]",1,1
"Bapak itu memesan ojek. This happened because...
Help me pick the more plausible option: - choice1: Dia sangat mengantuk., choice2: Dia ingin berangkat ke kantor.

[LABELS_CHOICE]",0,1
"Ibu kos datang. This happened because...
Help me pick the more plausible option: - choice1: Ia akan mengadakan lomba memasak., choice2: Ia ingin menagih bayaran.

[LABELS_CHOICE]",0,1
"Mahasiswa itu terlihat gugup. This happened because...
Help me pick the more plausible option: - choice1: Sebentar lagi sidang pidana., choice2: Sebentar lagi sidang skripsi.

[LABELS_CHOICE]",1,1
"Ia berlatih gerakan kuda-kuda. This happened because...
Help me pick the more plausible option: - choice1: Ia sedang belajar silat., choice2: Ia sedang belajar naik kuda.

[LABELS_CHOICE]",0,0
"Kakinya kapalan. This happened because...
Help me pick the more plausible option: - choice1: Ia seorang nahkoda kapal., choice2: Ia jarang pakai alas kaki.

[LABELS_CHOICE]",1,1
"Pengusaha kelas kakap itu akhirnya jatuh juga. This happened because...
Help me pick the more plausible option: - choice1: Hotel-hotel miliknya sepi pengunjung karena pandemi., choice2: Ikan kakap yang dijualnya jatuh dari meja.

[LABELS_CHOICE]",1,0
"Wanita itu sangat ingin menjadi artis. As a consequence...
Help me pick the more plausible option: - choice1: Ia menekuni seni melukis dan menggambar., choice2: Ia mencoba mengadu nasib dengan mengikuti audisi penyanyi.

[LABELS_CHOICE]",1,1
"Mahasiswa itu ketahuan titip absen. As a consequence...
Help me pick the more plausible option: - choice1: Mahasiswa itu dikeluarkan dari kampus., choice2: Dosennya memberikan nilai F.

[LABELS_CHOICE]",1,1
"Siswa SMA itu rambutnya gondrong. As a consequence...
Help me pick the more plausible option: - choice1: Gurunya menghukum siswa itu., choice2: Gurunya mengapresiasi siswa itu.

[LABELS_CHOICE]",1,0
"Pak ogah membantu mobilnya putar balik. As a consequence...
Help me pick the more plausible option: - choice1: Ia memberikan pak ogah uang receh., choice2: Ia memberikan pak ogah bingkisan parsel.

[LABELS_CHOICE]",0,0
"Pengunjung itu memberikan tip 5% ke pelayan. As a consequence...
Help me pick the more plausible option: - choice1: Pelayan itu kesal., choice2: Pelayan itu merasa sangat senang.

[LABELS_CHOICE]",0,1
"Banyak sekali pungli sepanjang perjalanan. As a consequence...
Help me pick the more plausible option: - choice1: Ia jadi jengkel., choice2: Perjalanan semakin lancar.

[LABELS_CHOICE]",0,0
"Ia ingin memberbaharui SIM-C miliknya. As a consequence...
Help me pick the more plausible option: - choice1: Ia datang ke kantor samsat., choice2: Ia datang ke toko ponsel.

[LABELS_CHOICE]",0,0
"Sopir truk jarak jauh itu bosan. As a consequence...
Help me pick the more plausible option: - choice1: Ia menyetel lagu dangdut., choice2: Ia menyetel lagu jazz.

[LABELS_CHOICE]",1,0
"Pemuda tersebut berlatih angklung setiap hari. As a consequence...
Help me pick the more plausible option: - choice1: Dia semakin handal bermain musik., choice2: Dia semakin handal dalam menyetir mobil.

[LABELS_CHOICE]",0,0
"Segerombolan pemuda sedang menjelajah Kalimantan. As a consequence...
Help me pick the more plausible option: - choice1: Mereka bertemu harimau liar., choice2: Mereka bertemu komodo.

[LABELS_CHOICE]",0,0
"Saya minum air kobokan. As a consequence...
Help me pick the more plausible option: - choice1: Saya merasa segar., choice2: Perut saya sakit.

[LABELS_CHOICE]",0,1
"Got di komplek perumahaan itu tersumbat. As a consequence...
Help me pick the more plausible option: - choice1: Pak RT menyiramkan cairan pelarut sampah., choice2: Pak RT berinisiasi mengadakan kerja bakti.

[LABELS_CHOICE]",1,1
"Hari senin, anak SD itu bangun jam 6 pagi. As a consequence...
Help me pick the more plausible option: - choice1: Anak SD itu langsung bersiap ke sekolah., choice2: Anak SD itu tidur lagi.

[LABELS_CHOICE]",1,0
"Ia didatangi pengamen. As a consequence...
Help me pick the more plausible option: - choice1: Ia memberikan receh ke pengamen itu., choice2: Ia memberikan gitar ke pengamen itu.

[LABELS_CHOICE]",1,0
"Banyak pembegalan di sekitar komplek. As a consequence...
Help me pick the more plausible option: - choice1: Saya sangat bahagia., choice2: Saya merasa cemas.

[LABELS_CHOICE]",1,1
"Pelajar itu ingin menembak temannya di sekolah. As a consequence...
Help me pick the more plausible option: - choice1: Ia membawa bunga., choice2: Ia membawa pistol.

[LABELS_CHOICE]",0,0
"Anak itu ingin sekali makan nasi dan ayam goreng tepung. As a consequence...
Help me pick the more plausible option: - choice1: Ia pergi ke Subway., choice2: Ia pergi ke Burger King.

[LABELS_CHOICE]",1,1
"Ada kasus demam berdarah di komplek itu. As a consequence...
Help me pick the more plausible option: - choice1: Mereka mengadakan penyemprotan., choice2: Mereka memanggil detektif.

[LABELS_CHOICE]",0,0
"Kakinya terkilir. As a consequence...
Help me pick the more plausible option: - choice1: Ia pergi ke tukang urut., choice2: Ia pergi ke tukang bekam.

[LABELS_CHOICE]",0,0
"Terlihat layang-layang putus. As a consequence...
Help me pick the more plausible option: - choice1: Segerombolan anak-anak berlali kabur dari layang-layang itu., choice2: Segerombolan anak-anak mengejar layang-layang itu.

[LABELS_CHOICE]",0,1
"Alergi kacangnya kumat dan ia gatal-gatal. This happened because...
Help me pick the more plausible option: - choice1: Ia makan cendol., choice2: Ia makan ketoperak.

[LABELS_CHOICE]",0,1
