Input,Pred,Gold
"Suppose The drain is clogged with hair. It has to be cleaned.. Can we infer that The hair has to be cleaned.?
[LABELS_CHOICE]",1,0
"Suppose Jane knocked on Susan's door but she did not answer.. Can we infer that Susan did not answer.?
[LABELS_CHOICE]",1,1
"Suppose Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.. Can we infer that Sally stopped and counted to ten.?
[LABELS_CHOICE]",1,0
"Suppose No one joins Facebook to be sad and lonely. But a new study from the University of Wisconsin psychologist George Lincoln argues that that's exactly how it makes us feel.. Can we infer that That's exactly how Facebook makes us feel.?
[LABELS_CHOICE]",1,1
"Suppose The man couldn't lift his son because he was so heavy.. Can we infer that The son was so heavy.?
[LABELS_CHOICE]",1,1
"Suppose Susan knew that Ann's son had been in a car accident, so she told her about it.. Can we infer that Ann told her about it.?
[LABELS_CHOICE]",0,0
"Suppose When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.. Can we infer that Father gave Timmy a stern look.?
[LABELS_CHOICE]",1,1
"Suppose There is a pillar between me and the stage, and I can't see around it.. Can we infer that I can't see around the pillar.?
[LABELS_CHOICE]",1,1
"Suppose Look! There is a minnow swimming right below that duck! It had better get away to safety fast!. Can we infer that The duck had better get away to safety fast!?
[LABELS_CHOICE]",1,0
"Suppose Bernard, who had not told the government official that he was less than 21 when he filed for a homestead claim, did not consider that he had done anything dishonest. Still, anyone who knew that he was 19 years old could take his claim away from him.. Can we infer that Anyone who knew that he was 19 years old could take his claim away from anyone.?
[LABELS_CHOICE]",1,0
"Suppose When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.. Can we infer that The sponsors were very much in the majority.?
[LABELS_CHOICE]",1,0
"Suppose I can't cut that tree down with that axe; it is too thick.. Can we infer that The tree is too thick.?
[LABELS_CHOICE]",1,1
"Suppose The large ball crashed right through the table because it was made of styrofoam.. Can we infer that The large ball was made of styrofoam.?
[LABELS_CHOICE]",1,0
"Suppose I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.. Can we infer that The lemon trees came out looking more like light bulbs.?
[LABELS_CHOICE]",1,0
